Latitude	Longitude	In(2L)t	In(2R)Ns	In(3L)P	In(3R)Payne	DEST
46.191059	11.135751	0.089493167	0.02075297	0.021005223	0.056498777	1
46.187389	11.13636	0.187185568	0.034017026	0.05321823	0.09282261	1
46.18739	11.13637	0.160299666	0.014759724	0	0.025054368	1
46.2	11.13333	0.133625298	0.007687775	0.007159329	0.007092462	1
0.04	36.36	0.389285714	0.012698413	0.003076923	0	1
34.95628944	-2.265683413	0.09948928	0.012492651	0.074762302	0.103343147	1
34.95628944	-2.265683413	0.202506033	0.017525759	0.126447369	0.042500844	1
35.02990908	-2.402129163	0.129791226	0	0.123983591	0.18565882	1
35.02990908	-2.402129163	0.103809817	0.014672177	0.055652234	0.027407574	1
35.0299088	-2.400933	0.154744916	0.010908121	0.123513275	0.067483928	1
35.032167	-2.394361	0.181440266	0.016566453	0.000320513	0.081198603	1
35.032167	-2.394361	0.23045102	0.022823105	0.000621058	0.01896404	1
35.14673389	-6.149771446	0	0	0	na	1
11.85	13.16	0.661904762	0.333862434	0.476923077	0.158823529	1
53.1512	6.3034	0.347934827	0.01400034	0.003648253	0.008348226	1
53.1512	6.3034	0.326368265	0.018876853	0.000233918	0.001645022	1
53.15917	6.30667	0.537362059	0.130108314	0.002143751	0.016925039	1
52.02	5.1	0.154074497	0.009337068	0.000961538	0	1
8.9844	-79.5178	0.236060007	0.072730857	0.111157064	0.440062238	1
51.2315	22.524833	0.193942673	0.033939014	0	0.021978022	1
54.35	18.64	0.25085228	0.024704784	0.001817842	0.07149415	1
54.27342	19.620169	0.228692803	0.068837215	0.002529407	0.002622378	1
54.27342	19.620169	0.315080693	0.037329471	0.001919161	0.017872885	1
54.2735	19.620167	0.251222971	0.017666209	0.000496278	0.010552158	1
41.15	-8.41	0.161060917	0.048768114	0.048605178	0.140975042	1
41.15	-8.41	0.116844567	0.048526683	0.084468827	0.13744862	1
41.15	-8.41	0.30871789	0.021820791	0.137304868	0.11533051	1
44.15	20.18	0.100229958	0.020912769	0.007887038	0.067893944	1
44.104161	19.981698	0.148817721	0.024339599	0.036429044	0.013076249	1
44.4455	19.2512	0.098024976	0.021836252	0.012586918	0	1
44.59	20.9	0.140771112	0.045120868	0.010952983	0	1
45.15	20.18	0.068679302	0.046560925	0.02396662	0	1
45.15	20.18	0.076503944	0.024517363	0.028774593	0	1
45.13	20.25	0.154139683	0.043430744	0.000862069	0.091561137	1
45.13	20.25	0.117650176	0.030675299	0.001298618	0.021365993	1
45.09	20.18	0.08095413	0.012333571	0.010333959	0	1
44.9863	20.1664	0.10426301	0.0578167	0.030613681	0.034989441	1
44.9863	20.1667	0.186226232	0.022695953	0.052623356	0.039835478	1
44.9863	20.1667	0.233224824	0.054481652	0.033110693	0.049904165	1
44.9863	20.1667	0.133453143	0.034227636	0.015108078	0.041508386	1
43.4	22.42	0.073022432	0.011865575	0.009594333	0.000811688	1
43.4	22.42	0.123233662	0.028223034	0.038397541	0	1
44.5015	34.16611944	0.153131069	0.029579467	0.009093165	0.091758771	1
44.5015	34.16611944	0.174335184	0.025721206	0.027794755	0.06328047	1
44.5015	34.16611944	0.124323815	0.054397757	0.001522938	0.086896273	1
44.5015	34.16611944	0.111694299	0.035451993	0.04747919	0.057377771	1
44.5015	34.1661	0.082216555	0.022906727	0.014038134	0.00818621	1
57.9788789	33.243615	0.178069372	0.015090143	0.010776723	0.058685542	1
58.024	33.23528	0.218627825	0.030139511	0.000197511	0.000621118	1
58.024	33.23528	0.143071827	0.045748367	0.000349563	0.000995025	1
58.02444	33.235277	0.142101259	0.012806993	0.063476103	0.011058447	1
58.02444	33.235277	0.058569255	0.08078578	0.000840689	0.00170068	1
58.02444	33.235277	0.06158751	0.008510163	0.000212585	0.00087108	1
58.02444	33.235277	0.392945977	0.032690164	0.078648442	0.027611281	1
58.02444	33.235277	0.24771688	0.021994214	0.053106636	0.04960526	1
58.02444	33.235277	0.140231316	0.013399814	0.032421616	0.042599722	1
53.99778	38.13167	0.234230983	0.010383101	0.020937566	0.025588036	1
56.41472	38.71611	0.111752051	0.011827957	0.009463799	0	1
56.41472	38.71611	0.208060842	0.118679382	0.016902716	0.020803551	1
56.41472	38.71611	0.187576335	0.137348779	0.068320396	0.042237055	1
56.41472	38.71611	0.436367883	0.012508809	0	0.001568627	1
56.41472	38.71611	0.242528057	0.101666422	0.013179941	0.07651907	1
-2.49	28.92	0.113220113	0.037227197	0.002279202	0.139433551	1
55.694	13.198	0.144758933	0.033168295	0.014366448	0.022678037	1
55.694	13.198	0.090185103	0.015498161	0.000731327	0.006923415	1
55.694	13.198	0.156485454	0.014142499	0.02568566	0.022895032	1
NA	NA	0.090909091	0	0.032258065	0	1
40.231444	32.260328	0.140621329	0.060313427	0.034284495	0.082270897	1
40.231444	32.260328	0.165421597	0.014375772	0.02759983	0.128975603	1
40.231444	32.260328	0.111128516	0.010219289	0.002056676	0.038385344	1
40.231444	32.260328	0.216066121	0.01059322	0.040530314	0.0717568	1
40.231444	32.260328	0.182348863	0.018526061	0.034452475	0.130610501	1
40.231444	32.260328	0.306518428	0.009528154	0.08852178	0.042795561	1
40.231444	32.260328	0.104570284	0.039958155	0.013532764	0.058726957	1
40.231444	32.260328	0.164654612	0.014984669	0.040561848	0.070863917	1
40.231444	32.260328	0.147907255	0.025341302	0.052971683	0.093093824	1
40.231444	32.260328	0.084959562	0.017984934	0.019544657	0.101404358	1
40.231444	32.260328	0.112994345	0.022303023	0.04158758	0.114940946	1
40.231444	32.260328	0.247721455	0.010901539	0.116627592	0.112415066	1
40.231444	32.260328	0.238096531	0.015942188	0.06827279	0.135629169	1
40.231444	32.260328	0.147877943	0.021066756	0.027038099	0.100330634	1
40.231444	32.260328	0.13023855	0.012336844	0.028682653	0.039502557	1
40.231445	32.260329	0.190311469	0.022498219	0	0.071550251	1
40.231446	32.26033	0.121781697	0.012595167	0.048091124	0.274795559	1
40.231447	32.260331	0.145409309	0.012295082	0.024674073	0.144339975	1
40.231448	32.260332	0.151733886	0.040885503	0.045983347	0.11664467	1
40.231449	32.260333	0.077205868	0.015988413	0.000217439	0.011472749	1
40.231444	32.260328	0.207521187	0.020889449	0.049707823	0.100513412	1
40.231444	32.260328	0.193056821	0.013493491	0.034572434	0.121629861	1
40.231444	32.260328	0.194265366	0.025627234	0.032263224	0.122164125	1
40.231444	32.260328	0.118992202	0.022274805	0.000899471	0.169573872	1
40.231444	32.260328	0.127768804	0.012528419	0.049732182	0.163215249	1
40.231444	32.260328	0.150822736	0.039028357	0.042917842	0.077551258	1
40.231444	32.260328	0.090606768	0.011976799	0.000268817	0.083811542	1
40.231444	32.260328	0.13214212	0.050963596	0.053451546	0.112124497	1
40.231444	32.260328	0.207426463	0.070492052	0.0577456	0.051603875	1
40.231444	32.260328	0.206175384	0.014885311	0.047237184	0.075616412	1
40.231444	32.260328	0.392507481	0.013403947	0.190404468	0.118879725	1
40.231444	32.260328	0.170246323	0.027518317	0.12208329	0.142729013	1
