Latitude Longitude In(2L)t In(2R)Ns In(3L)P In(3R)Payne DEST
-29.678333 -53.69 0.121212121212121 0 0.316981875492514 0.189189189189189 22
-23.994722 -46.2525 0.757142857142857 0 0 0.479489164086687 22
52.142193 23.662434 0.145454545454545 0.0377492877492877 0.0338983050847458 0.0280431134632761 22
45.25 -66.07 0.0466666666666667 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0.111111111111111 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.25 -66.07 0 0 0 0 22
45.08 -64.37 0.053257351906571 0.0223526473526474 0 0 22
45.08 -64.37 0 0 0 0 22
45.08 -64.37 0 0 0 0 22
45.08 -64.37 0 0 0 0 22
45.08 -64.37 0.0909090909090909 0 0 0 22
45.08 -64.37 0 0 0 0 22
45.08 -64.37 0 0 0 0 22
45.08 -64.37 0.0454545454545455 0 0 0 22
45.08 -64.37 0.0833333333333333 0 0 0 22
45.08 -64.37 0.0454545454545455 0 0 0 22
45.08 -64.37 0.0416666666666667 0 0 0 22
46.53 -80.96 0.139013452914798 0.00862068965517241 0 0.0228543997328435 22
46.53 -80.96 0.142063492063492 0.0301697998787144 0 0.0364292022372682 22
46.71061 6.98713 0.323383084577114 0.117156862745098 0.052027027027027 0.0956235770301037 22
46.5670416 6.701867 0.450980392156863 0.0909090909090909 0.0538127413127413 0.145634499823259 22
46.5670416 6.701867 0.375929682217715 0.063508064516129 0.0714285714285714 0.0283094098883573 22
46.5670416 6.701867 0.317382125263899 0.0882352941176471 0.0614341627061784 0.301470588235294 22
46.5670416 6.701867 0.395348837209302 0.115384615384615 0.0172413793103448 0.133834346018548 22
46.93947 7.05332 0.2 0.0952380952380952 0.037037037037037 0.0631578947368421 22
46.93947 7.05332 0.275252525252525 0.0909090909090909 0.0789473684210526 0.107692307692308 22
46.93947 7.05332 0.222560975609756 0.132456140350877 0.0513157894736842 0.046875 22
46.93947 7.05332 0.280088917116545 0.138888888888889 0.012987012987013 0.14446227929374 22
46.93947 7.05332 0.389022298456261 0.107692307692308 0.0363636363636364 0.134328358208955 22
6.25 10.43 0.1 0 0 0.1 22
39.91 116.41 0 0 0.125 0 22
4.995972 -74.364194 0.0870157384987894 0.117647058823529 0.0327868852459016 0.484313725490196 22
4.967111 -74.083889 0.236441798941799 0.178235294117647 0 0.218253968253968 22
11.143611 -74.117778 0.0689723320158103 0.0217391304347826 0 0.793650793650794 22
4.489722 -75.311667 0.223180076628352 0.293374316939891 0.105263157894737 0.777761542957335 22
4.203889 -74.642778 0.287087912087912 0.297872340425532 0.102040816326531 0.736842105263158 22
35.066461 33.322646 0.323511904761905 0 0.144444444444444 0.141092885752432 22
48.218024 7.819513 0.209195216548158 0.0384615384615385 0.0125 0.0623957290623957 22
48.218024 7.819513 0.0958922030350602 0.0434782608695652 0.0133333333333333 0.0394736842105263 22
48.218 7.82 0.283056837145381 0.072289156626506 0 0.0666666666666667 22
48.218 7.82 0.202329652572044 0.0545454545454545 0.0250549220629773 0.0832047685834502 22
48.218024 7.819513 0.0634920634920635 0.0136986301369863 0.0126582278481013 0.0962577160493827 22
48.218024 7.819513 0.107142857142857 0.0287903893951947 0 0 22
48.217898 7.819194 0.0872420262664165 0.0196078431372549 0 0 22
48.217898 7.819194 0.163934426229508 0.0222222222222222 0.0217086834733894 0.0588235294117647 22
48.217898 7.819194 0.118421052631579 0.0307692307692308 0 0 22
48.217898 7.819194 0.4 0 0.162280701754386 0.0833333333333333 22
48.217898 7.819194 0.0833333333333333 0 0.113247863247863 0.105263157894737 22
48.217898 7.819194 0.15592203898051 0.0444444444444444 0 0.0253623188405797 22
48.217898 7.819194 0.101914962674456 0.0304639175257732 0.0357142857142857 0.0715197956577267 22
47.622135 8.217058 0.0926243567753002 0.027027027027027 0.114835164835165 0.0434782608695652 22
47.622135 8.217058 0.387096774193548 0.111111111111111 0.0512820512820513 0.0294117647058824 22
48.18 11.61 0.362146050670641 0.135135135135135 0 0.0284134248665141 22
48.18 11.61 0.493589743589744 0.0974067046173308 0.0277777777777778 0.0163934426229508 22
